[1.369s][info][gc,heap      ] GC(8) Archive regions: 0->0
[1.369s][info][gc,heap      ] GC(8) Humongous regions: 0->0
[1.369s][info][gc,metaspace ] GC(8) Metaspace: 203K->203K(1056768K)
[1.369s][info][gc           ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 185M->182M(2095M) 117.306ms
[1.369s][info][gc,cpu       ] GC(8) User=0.88s Sys=0.00s Real=0.12s
[1.662s][info][gc,start     ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[1.662s][info][gc,task      ] GC(9) Using 8 workers of 8 for evacuation
[1.968s][info][gc,mmu       ] GC(9) MMU target violated: 201.0ms (200.0ms/201.0ms)
[1.968s][info][gc,phases    ] GC(9)   Pre Evacuate Collection Set: 0.1ms
[1.968s][info][gc,phases    ] GC(9)   Evacuate Collection Set: 292.9ms
[1.968s][info][gc,phases    ] GC(9)   Post Evacuate Collection Set: 13.4ms
[1.968s][info][gc,phases    ] GC(9)   Other: 0.4ms
[1.968s][info][gc,heap      ] GC(9) Eden regions: 99->0(91)
[1.969s][info][gc,heap      ] GC(9) Survivor regions: 5->13(13)
[1.969s][info][gc,heap      ] GC(9) Old regions: 178->266
[1.969s][info][gc,heap      ] GC(9) Archive regions: 0->0
[1.969s][info][gc,heap      ] GC(9) Humongous regions: 0->0
[1.969s][info][gc,metaspace ] GC(9) Metaspace: 203K->203K(1056768K)
[1.969s][info][gc           ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 281M->278M(2095M) 306.953ms
[1.969s][info][gc,cpu       ] GC(9) User=2.19s Sys=0.02s Real=0.31s
[2.231s][info][gc,start     ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2.232s][info][gc,task      ] GC(10) Using 8 workers of 8 for evacuation
[2.516s][info][gc,mmu       ] GC(10) MMU target violated: 201.0ms (200.0ms/201.0ms)
[2.516s][info][gc,phases    ] GC(10)   Pre Evacuate Collection Set: 0.1ms
[2.516s][info][gc,phases    ] GC(10)   Evacuate Collection Set: 271.6ms
[2.516s][info][gc,phases    ] GC(10)   Post Evacuate Collection Set: 12.5ms
[2.516s][info][gc,phases    ] GC(10)   Other: 0.5ms
[2.516s][info][gc,heap      ] GC(10) Eden regions: 91->0(91)
[2.516s][info][gc,heap      ] GC(10) Survivor regions: 13->13(13)
[2.516s][info][gc,heap      ] GC(10) Old regions: 266->346
[2.516s][info][gc,heap      ] GC(10) Archive regions: 0->0
[2.516s][info][gc,heap      ] GC(10) Humongous regions: 0->0
[2.516s][info][gc,metaspace ] GC(10) Metaspace: 203K->203K(1056768K)
[2.516s][info][gc           ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 369M->358M(2095M) 284.908ms
[2.516s][info][gc,cpu       ] GC(10) User=1.84s Sys=0.03s Real=0.29s
[2.782s][info][gc,start     ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2.782s][info][gc,task      ] GC(11) Using 8 workers of 8 for evacuation
[3.061s][info][gc,mmu       ] GC(11) MMU target violated: 201.0ms (200.0ms/201.0ms)
[3.062s][info][gc,phases    ] GC(11)   Pre Evacuate Collection Set: 0.1ms
[3.062s][info][gc,phases    ] GC(11)   Evacuate Collection Set: 271.1ms
[3.062s][info][gc,phases    ] GC(11)   Post Evacuate Collection Set: 8.0ms
[3.062s][info][gc,phases    ] GC(11)   Other: 0.3ms
[3.062s][info][gc,heap      ] GC(11) Eden regions: 91->0(91)
